Designator,Mid X,Mid Y,Rotation,Layer
Batt1,78.075,-70.875,0.0,bottom
D_0,48.625,-59.56,90.0,bottom
D_1,77.125,-59.56,90.0,bottom
D_10,105.875,-79.81,90.0,bottom
D_11,124.625,-78.56,90.0,bottom
D_12,143.625,-78.56,90.0,bottom
D_13,162.625,-80.185,90.0,bottom
D_14,165.125,-82.94,90.0,bottom
D_15,48.625,-97.56,90.0,bottom
D_16,86.625,-100.065,90.0,bottom
D_17,110.375,-97.56,90.0,bottom
D_18,129.375,-97.56,90.0,bottom
D_19,148.375,-97.56,90.0,bottom
D_2,96.125,-59.56,90.0,bottom
D_20,167.375,-97.56,90.0,bottom
D_21,169.875,-101.94,90.0,bottom
D_22,48.625,-116.56,90.0,bottom
D_23,94.725,-116.66,90.0,bottom
D_24,119.875,-116.56,90.0,bottom
D_25,138.875,-118.315,90.0,bottom
D_26,157.875,-116.56,90.0,bottom
D_27,176.875,-116.56,90.0,bottom
D_28,179.375,-120.94,90.0,bottom
D_29,92.25,-135.69,90.0,bottom
D_3,115.125,-59.56,90.0,bottom
D_30,116.25,-135.69,90.0,bottom
D_31,140.0,-135.69,90.0,bottom
D_32,162.625,-138.815,90.0,bottom
D_33,167.125,-138.935,90.0,bottom
D_4,134.125,-59.56,90.0,bottom
D_5,153.125,-59.56,90.0,bottom
D_6,172.125,-59.56,90.0,bottom
D_7,174.625,-63.94,90.0,bottom
D_8,48.625,-78.56,90.0,bottom
D_9,81.875,-79.935,90.0,bottom
K_0,40.375,-59.29695,0.0,top
K_1,68.875,-59.29695,0.0,top
K_10,97.375,-78.29695,0.0,top
K_11,116.375,-78.29695,0.0,top
K_12,135.375,-78.29695,0.0,top
K_13,154.375,-78.29695,0.0,top
K_14,173.375,-78.29695,0.0,top
K_15,40.375,-97.29695,0.0,top
K_16,78.375,-97.29695,0.0,top
K_16a1,76.0,-102.20305,180.0,top
K_17,102.125,-97.29695,0.0,top
K_18,121.125,-97.29695,0.0,top
K_19,140.125,-97.29695,0.0,top
K_2,87.875,-59.29695,0.0,top
K_20,159.125,-97.29695,0.0,top
K_21,178.125,-97.29695,0.0,top
K_22,40.375,-116.29695,0.0,top
K_23,83.125,-116.29695,0.0,top
K_23a1,80.75,-121.20305,180.0,top
K_24,111.625,-116.29695,0.0,top
K_25,130.625,-116.29695,0.0,top
K_26,149.625,-116.29695,0.0,top
K_27,168.625,-116.29695,0.0,top
K_28,187.625,-116.29695,0.0,top
K_29,83.125,-135.29695,0.0,top
K_3,106.875,-59.29695,0.0,top
K_30,106.875,-135.29695,0.0,top
K_31,130.625,-135.29695,0.0,top
K_32,154.375,-135.29695,0.0,top
K_33,178.125,-135.29695,0.0,top
K_34,80.75,-140.20305,180.0,top
K_35,104.5,-140.20305,180.0,top
K_36,128.25,-140.20305,180.0,top
K_37,152.0,-140.20305,180.0,top
K_38,175.75,-140.20305,180.0,top
K_4,125.875,-59.29695,0.0,top
K_5,144.875,-59.29695,0.0,top
K_6,163.875,-59.29695,0.0,top
K_7,182.875,-59.29695,0.0,top
K_8,40.375,-78.29695,0.0,top
K_9,73.625,-78.29695,0.0,top
SW1,87.325,-71.125,0.0,bottom
SW2,106.075,-71.125,0.0,bottom
U1,49.885,-77.515,180.0,bottom
