Designator,Mid X,Mid Y,Rotation,Layer
BAT1,118.39,-58.285,0.0,bottom
D_0,72.75,-47.185,90.0,bottom
D_1,91.75,-47.185,90.0,bottom
D_10,120.25,-67.31,90.0,bottom
D_11,139.25,-67.31,90.0,bottom
D_12,158.25,-67.31,90.0,bottom
D_13,177.25,-66.185,90.0,bottom
D_14,179.75,-70.185,90.0,bottom
D_15,68.0,-85.31,90.0,bottom
D_16,87.0,-85.31,90.0,bottom
D_17,106.0,-85.31,90.0,bottom
D_18,125.0,-85.31,90.0,bottom
D_19,144.0,-88.06,90.0,bottom
D_2,110.75,-47.185,90.0,bottom
D_20,163.0,-85.185,90.0,bottom
D_21,168.0,-85.185,90.0,bottom
D_22,77.5,-104.31,90.0,bottom
D_23,96.5,-104.31,90.0,bottom
D_24,115.5,-104.31,90.0,bottom
D_25,134.5,-104.31,90.0,bottom
D_26,153.5,-104.31,90.0,bottom
D_27,172.5,-104.185,90.0,bottom
D_28,175.0,-106.685,90.0,bottom
D_29,77.5,-123.31,90.0,bottom
D_3,129.75,-47.185,90.0,bottom
D_30,84.25,-123.31,90.0,bottom
D_31,134.5,-123.31,90.0,bottom
D_32,153.5,-123.31,90.0,bottom
D_33,172.5,-124.685,90.0,bottom
D_34,175.0,-127.435,90.0,bottom
D_4,148.75,-47.185,90.0,bottom
D_5,167.75,-47.185,90.0,bottom
D_6,171.5,-47.185,90.0,bottom
D_7,63.25,-66.185,90.0,bottom
D_8,82.25,-66.185,90.0,bottom
D_9,101.25,-68.5,90.0,bottom
K_0,64.5,-47.04695,0.0,top
K_1,83.5,-47.04695,0.0,top
K_10,112.0,-66.04695,0.0,top
K_11,131.0,-66.04695,0.0,top
K_12,150.0,-66.04695,0.0,top
K_13,169.0,-66.04695,0.0,top
K_14,188.0,-66.04695,0.0,top
K_15,59.75,-85.04695,0.0,top
K_16,78.75,-85.04695,0.0,top
K_17,97.75,-85.04695,0.0,top
K_18,116.75,-85.04695,0.0,top
K_19,135.75,-85.04695,0.0,top
K_2,102.5,-47.04695,0.0,top
K_20,154.75,-85.04695,0.0,top
K_21,178.5,-85.04695,0.0,top
K_22,69.25,-104.04695,0.0,top
K_23,88.25,-104.04695,0.0,top
K_24,107.25,-104.04695,0.0,top
K_25,126.25,-104.04695,0.0,top
K_26,145.25,-104.04695,0.0,top
K_27,164.25,-104.04695,0.0,top
K_28,183.25,-104.04695,0.0,top
K_29,64.5,-123.04695,0.0,top
K_3,121.5,-47.04695,0.0,top
K_30,93.0,-123.04695,0.0,top
K_31,116.75,-123.04695,0.0,top
K_32,145.25,-123.04695,0.0,top
K_33,164.25,-123.04695,0.0,top
K_34,183.25,-123.04695,0.0,top
K_35,69.25,-127.95305,180.0,top
K_36,102.5,-127.95305,180.0,top
K_37,126.25,-127.95305,180.0,top
K_38,188.0,-51.95305,180.0,top
K_39,192.75,-70.95305,180.0,top
K_4,140.5,-47.04695,0.0,top
K_40,185.625,-89.95305,180.0,top
K_41,190.375,-108.95305,180.0,top
K_5,159.5,-47.04695,0.0,top
K_6,183.25,-47.04695,0.0,top
K_7,55.0,-66.04695,0.0,top
K_8,74.0,-66.04695,0.0,top
K_9,93.0,-66.04695,0.0,top
PWR1,130.89,-58.535,0.0,bottom
RST1,143.64,-58.285,0.0,bottom
U1,74.01,-66.015,180.0,bottom
